query	_id	_score	entrezgene	name	summary	symbol
PIR	8544	101.27749	8544	pirin	This gene encodes a member of the cupin superfamily. The encoded protein is an Fe(II)-containing nuclear protein expressed in all tissues of the body and concentrated within dot-like subnuclear structures. Interactions with nuclear factor I/CCAAT box transcription factor as well as B cell lymphoma 3-encoded oncoprotein suggest the encoded protein may act as a transcriptional cofactor and be involved in the regulation of DNA transcription and replication. Alternatively spliced transcript variants have been described.	PIR
TRPV2	51393	93.85176	51393	transient receptor potential cation channel subfamily V member 2	This gene encodes an ion channel that is activated by high temperatures above 52 degrees Celsius. The protein may be involved in transduction of high-temperature heat responses in sensory ganglia. It is thought that in other tissues the channel may be activated by stimuli other than heat.	TRPV2
ARHGEF11	9826	92.08045	9826	Rho guanine nucleotide exchange factor 11	Rho GTPases play a fundamental role in numerous cellular processes that are initiated by extracellular stimuli that work through G protein coupled receptors. The encoded protein may form a complex with G proteins and stimulate Rho-dependent signals. A similar protein in rat interacts with glutamate transporter EAAT4 and modulates its glutamate transport activity. Expression of the rat protein induces the reorganization of the actin cytoskeleton and its overexpression induces the formation of membrane ruffling and filopodia. Two alternative transcripts encoding different isoforms have been described.	ARHGEF11
FAM210B	116151	94.046776	116151	family with sequence similarity 210 member B		FAM210B
SLC45A2	51151	97.634964	51151	solute carrier family 45 member 2	This gene encodes a transporter protein that mediates melanin synthesis. The protein is expressed in a high percentage of melanoma cell lines. Mutations in this gene are a cause of oculocutaneous albinism type 4, and polymorphisms in this gene are associated with variations in skin and hair color. Multiple transcript variants encoding different isoforms have been found for this gene.	SLC45A2
ARPC1B	10095	94.93187	10095	actin related protein 2/3 complex subunit 1B	This gene encodes one of seven subunits of the human Arp2/3 protein complex. This subunit is a member of the SOP2 family of proteins and is most similar to the protein encoded by gene ARPC1A. The similarity between these two proteins suggests that they both may function as p41 subunit of the human Arp2/3 complex that has been implicated in the control of actin polymerization in cells. It is possible that the p41 subunit is involved in assembling and maintaining the structure of the Arp2/3 complex. Multiple versions of the p41 subunit may adapt the functions of the complex to different cell types or developmental stages. This protein also has a role in centrosomal homeostasis by being an activator and substrate of the Aurora A kinase.	ARPC1B
MAGED2	10916	99.84124	10916	MAGE family member D2	This gene is a member of the MAGED gene family. The MAGED genes are clustered on chromosome Xp11. This gene is located in Xp11.2, a hot spot for X-linked mental retardation (XLMR). This gene may also be involved in several types of cancer, including breast cancer and melanoma. Alternative splicing results in multiple transcript variants.	MAGED2
ZNF280B	140883	97.944916	140883	zinc finger protein 280B	The protein encoded by this gene is a transcription factor that upregulates expression of MDM2, which negatively regulates p53 expression. This gene is highly expressed in prostate cancer cells, which leads to a reduction in p53 levels and an increase in growth of the cancer cells. Several transcript variants have been found for this gene, but only one of them is protein-coding.	ZNF280B
MRPL44	65080	91.790825	65080	mitochondrial ribosomal protein L44	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein.	MRPL44
TUBB4A	10382	96.70164	10382	tubulin beta 4A class IVa	This gene encodes a member of the beta tubulin family. Beta tubulins are one of two core protein families (alpha and beta tubulins) that heterodimerize and assemble to form microtubules. Mutations in this gene cause hypomyelinating leukodystrophy-6 and autosomal dominant torsion dystonia-4. Alternate splicing results in multiple transcript variants encoding different isoforms. A pseudogene of this gene is found on chromosome X.	TUBB4A
TYR	7299	94.4721	7299	tyrosinase	The enzyme encoded by this gene catalyzes the first 2 steps, and at least 1 subsequent step, in the conversion of tyrosine to melanin. The enzyme has both tyrosine hydroxylase and dopa oxidase catalytic activities, and requires copper for function. Mutations in this gene result in oculocutaneous albinism, and nonpathologic polymorphisms result in skin pigmentation variation. The human genome contains a pseudogene similar to the 3' half of this gene.	TYR
MESDC2	23184	93.27467	23184	mesoderm development candidate 2		MESDC2
MMP17	4326	94.70852	4326	matrix metallopeptidase 17	This gene encodes a member of the peptidase M10 family and membrane-type subfamily of matrix metalloproteinases (MMPs). Proteins in this family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. Members of this subfamily contain a transmembrane domain suggesting that these proteins are expressed at the cell surface rather than secreted. The encoded preproprotein is proteolytically processed to generate the mature protease. This protein is unique among the membrane-type matrix metalloproteinases in that it is anchored to the cell membrane via a glycosylphosphatidylinositol (GPI) anchor. Elevated expression of the encoded protein has been observed in osteoarthritis and multiple human cancers.	MMP17
STMN1	3925	93.271126	3925	stathmin 1	This gene belongs to the stathmin family of genes. It encodes a ubiquitous cytosolic phosphoprotein proposed to function as an intracellular relay integrating regulatory signals of the cellular environment. The encoded protein is involved in the regulation of the microtubule filament system by destabilizing microtubules. It prevents assembly and promotes disassembly of microtubules. Multiple transcript variants encoding different isoforms have been found for this gene.	STMN1
ALG1	56052	96.720375	56052	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase	The enzyme encoded by this gene catalyzes the first mannosylation step in the biosynthesis of lipid-linked oligosaccharides. This gene is mutated in congenital disorder of glycosylation type Ik.	ALG1
FMN1	342184	96.69533	342184	formin 1	This gene belongs to the formin homology family and encodes a protein that has a role in the formation of adherens junction and the polymerization of linear actin cables. The homologous gene in mouse is associated with limb deformity. Alternatively spliced transcript variants have been found for this gene.	FMN1
ZNF697	90874	98.64701	90874	zinc finger protein 697		ZNF697
TRIB2	28951	94.490845	28951	tribbles pseudokinase 2	This gene encodes one of three members of the Tribbles family. The Tribbles members share a Trb domain, which is homologous to protein serine-threonine kinases, but lacks the active site lysine and probably lacks a catalytic function. The Tribbles proteins interact and modulate the activity of signal transduction pathways in a number of physiological and pathological processes. This Tribbles member induces apoptosis of cells mainly of the hematopoietic origin. It has been identified as a protein up-regulated by inflammatory stimuli in myeloid (THP-1) cells, and also as an oncogene that inactivates the transcription factor C/EBPalpha (CCAAT/enhancer-binding protein alpha) and causes acute myelogenous leukemia. Alternatively spliced transcript variants have been found for this gene.	TRIB2
SERPINE2	5270	95.405426	5270	serpin family E member 2	This gene encodes a member of the serpin family of proteins, a group of proteins that inhibit serine proteases. Thrombin, urokinase, plasmin and trypsin are among the proteases that this family member can inhibit. This gene is a susceptibility gene for chronic obstructive pulmonary disease and for emphysema. Alternative splicing results in multiple transcript variants.	SERPINE2
CHCHD3	54927	93.85176	54927	coiled-coil-helix-coiled-coil-helix domain containing 3	The protein encoded by this gene is an inner mitochondrial membrane scaffold protein. Absence of the encoded protein affects the structural integrity of mitochondrial cristae and leads to reductions in ATP production, cell growth, and oxygen consumption. This protein is part of the mitochondrial contact site and cristae organizing system (MICOS). Several transcript variants encoding different isoforms have been found for this gene.	CHCHD3
SOX10	6663	95.90383	6663	SRY-box 10	This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional activator after forming a protein complex with other proteins. This protein acts as a nucleocytoplasmic shuttle protein and is important for neural crest and peripheral nervous system development. Mutations in this gene are associated with Waardenburg-Shah and Waardenburg-Hirschsprung disease.	SOX10
IGSF11	152404	93.113815	152404	immunoglobulin superfamily member 11	IGSF11 is an immunoglobulin (Ig) superfamily member that is preferentially expressed in brain and testis. It shares significant homology with coxsackievirus and adenovirus receptor (CXADR; MIM 602621) and endothelial cell-selective adhesion molecule (ESAM).	IGSF11
EN2	2020	95.6279	2020	engrailed homeobox 2	Homeobox-containing genes are thought to have a role in controlling development. In Drosophila, the 'engrailed' (en) gene plays an important role during development in segmentation, where it is required for the formation of posterior compartments. Different mutations in the mouse homologs, En1 and En2, produced different developmental defects that frequently are lethal. The human engrailed homologs 1 and 2 encode homeodomain-containing proteins and have been implicated in the control of pattern formation during development of the central nervous system.	EN2
LZTS1	11178	94.07118	11178	leucine zipper tumor suppressor 1	This gene encodes a tumor suppressor protein that is ubiquitously expressed in normal tissues. In uveal melanomas, expression of this protein is silenced in rapidly metastasizing and metastatic tumor cells but has normal expression in slowly metastasizing or nonmetastasizing tumor cells. This protein may have a role in cell-cycle control by interacting with the Cdk1/cyclinB1 complex. This gene is located on chromosomal region 8p22. Loss of heterozygosity (LOH) in the 8p arm is a common characteristic of many types of cancer.	LZTS1
GLMP	112770	92.75952	112770	glycosylated lysosomal membrane protein		GLMP
PAX3	5077	94.2785	5077	paired box 3	This gene is a member of the paired box (PAX) family of transcription factors. Members of the PAX family typically contain a paired box domain and a paired-type homeodomain. These genes play critical roles during fetal development. Mutations in paired box gene 3 are associated with Waardenburg syndrome, craniofacial-deafness-hand syndrome, and alveolar rhabdomyosarcoma. The translocation t(2;13)(q35;q14), which represents a fusion between PAX3 and the forkhead gene, is a frequent finding in alveolar rhabdomyosarcoma. Alternative splicing results in transcripts encoding isoforms with different C-termini.	PAX3
ARNT2	9915	94.69042	9915	aryl hydrocarbon receptor nuclear translocator 2	This gene encodes a member of the basic-helix-loop-helix-Per-Arnt-Sim (bHLH-PAS) superfamily of transcription factors. The encoded protein acts as a partner for several sensor proteins of the bHLH-PAS family, forming heterodimers with the sensor proteins that bind regulatory DNA sequences in genes responsive to developmental and environmental stimuli. Under hypoxic conditions, the encoded protein complexes with hypoxia-inducible factor 1alpha in the nucleus and this complex binds to hypoxia-responsive elements in enhancers and promoters of oxygen-responsive genes. A highly similar protein in mouse forms functional complexes with both aryl hydrocarbon receptors and Single-minded proteins, suggesting additional roles for the encoded protein in the metabolism of xenobiotic compounds and the regulation of neurogenesis, respectively.	ARNT2
PLXNC1	10154	94.469345	10154	plexin C1	This gene encodes a member of the plexin family. Plexins are transmembrane receptors for semaphorins, a large family of proteins that regulate axon guidance, cell motility and migration, and the immune response. The encoded protein and its ligand regulate melanocyte adhesion, and viral semaphorins may modulate the immune response by binding to this receptor. The encoded protein may be a tumor suppressor protein for melanoma. Alternatively spliced transcript variants have been observed for this gene.	PLXNC1
ETV5	2119	97.29176	2119	ETS variant 5		ETV5
SDC3	9672	91.62223	9672	syndecan 3	The protein encoded by this gene belongs to the syndecan proteoglycan family. It may play a role in the organization of cell shape by affecting the actin cytoskeleton, possibly by transferring signals from the cell surface in a sugar-dependent mechanism. Allelic variants of this gene have been associated with obesity.	SDC3
MLANA	2315	94.91569	2315	melan-A		MLANA
TMEM230	29058	92.25935	29058	transmembrane protein 230		TMEM230
SLC35B2	347734	95.905594	347734	solute carrier family 35 member B2	Sulfotransferases (e.g., SULT4A1; MIM 608359) use an activated form of sulfate, 3-prime-phosphoadenosine 5-prime-phosphosulfate (PAPS), as a common sulfate donor for sulfation of glycoproteins, proteoglycans, and glycolipids in the endoplasmic reticulum and Golgi apparatus. SLC35B2 is located in the microsomal membrane and transports PAPS from the cytosol, where it is synthesized, into the Golgi lumen (Kamiyama et al., 2003 [PubMed 12716889]).	SLC35B2
SLC35B4	84912	95.14645	84912	solute carrier family 35 member B4	Glycosyltransferases, such as SLC35B4, transport nucleotide sugars from the cytoplasm where they are synthesized, to the Golgi apparatus where they are utilized in the synthesis of glycoproteins, glycolipids, and proteoglycans (Ashikov et al., 2005 [PubMed 15911612]).	SLC35B4
SNCA	6622	92.40298	6622	synuclein alpha	Alpha-synuclein is a member of the synuclein family, which also includes beta- and gamma-synuclein. Synucleins are abundantly expressed in the brain and alpha- and beta-synuclein inhibit phospholipase D2 selectively. SNCA may serve to integrate presynaptic signaling and membrane trafficking. Defects in SNCA have been implicated in the pathogenesis of Parkinson disease. SNCA peptides are a major component of amyloid plaques in the brains of patients with Alzheimer's disease. Alternatively spliced transcripts encoding different isoforms have been identified for this gene.	SNCA
AIFM1	9131	92.572395	9131	apoptosis inducing factor mitochondria associated 1	This gene encodes a flavoprotein essential for nuclear disassembly in apoptotic cells, and it is found in the mitochondrial intermembrane space in healthy cells. Induction of apoptosis results in the translocation of this protein to the nucleus where it affects chromosome condensation and fragmentation. In addition, this gene product induces mitochondria to release the apoptogenic proteins cytochrome c and caspase-9. Mutations in this gene cause combined oxidative phosphorylation deficiency 6 (COXPD6), a severe mitochondrial encephalomyopathy, as well as Cowchock syndrome, also known as X-linked recessive Charcot-Marie-Tooth disease-4 (CMTX-4), a disorder resulting in neuropathy, and axonal and motor-sensory defects with deafness and mental retardation. Alternative splicing results in multiple transcript variants. A related pseudogene has been identified on chromosome 10.	AIFM1
LRPAP1	4043	96.720375	4043	LDL receptor related protein associated protein 1	This gene encodes a protein that interacts with the low density lipoprotein (LDL) receptor-related protein and facilitates its proper folding and localization by preventing the binding of ligands. Mutations in this gene have been identified in individuals with myopia 23. Alternative splicing results in multiple transcript variants.	LRPAP1
ALG8	79053	91.044815	79053	ALG8, alpha-1,3-glucosyltransferase	This gene encodes a member of the ALG6/ALG8 glucosyltransferase family. The encoded protein catalyzes the addition of the second glucose residue to the lipid-linked oligosaccharide precursor for N-linked glycosylation of proteins. Mutations in this gene have been associated with congenital disorder of glycosylation type Ih (CDG-Ih). Alternatively spliced transcript variants encoding different isoforms have been identified.	ALG8
DARS2	55157	94.06987	55157	aspartyl-tRNA synthetase 2, mitochondrial	The protein encoded by this gene belongs to the class-II aminoacyl-tRNA synthetase family. It is a mitochondrial enzyme that specifically aminoacylates aspartyl-tRNA. Mutations in this gene are associated with leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation (LBSL).	DARS2
SLC4A2	6522	96.720375	6522	solute carrier family 4 member 2	This gene encodes a member of the anion exchanger family of membrane transport proteins. The encoded protein regulates intracellular pH, biliary bicarbonate secretion, and chloride uptake. Reduced expression of this gene may be associated with primary biliary cirrhosis (PBC) in human patients, while differential expression of this gene may be associated with malignant hepatocellular carcinoma, colon and gastric cancers.	SLC4A2
PLP1	5354	96.43658	5354	proteolipid protein 1	This gene encodes a transmembrane proteolipid protein that is the predominant component of myelin. The encoded protein may play a role in the compaction, stabilization, and maintenance of myelin sheaths, as well as in oligodendrocyte development and axonal survival. Mutations in this gene cause Pelizaeus-Merzbacher disease and spastic paraplegia type 2. Alternatively splicing results in multiple transcript variants, including the DM20 splice variant.	PLP1
QPRT	23475	95.403015	23475	quinolinate phosphoribosyltransferase	This gene encodes a key enzyme in catabolism of quinolinate, an intermediate in the tryptophan-nicotinamide adenine dinucleotide pathway. Quinolinate acts as a most potent endogenous exitotoxin to neurons. Elevation of quinolinate levels in the brain has been linked to the pathogenesis of neurodegenerative disorders such as epilepsy, Alzheimer's disease, and Huntington's disease. Alternative splicing results in multiple transcript variants.	QPRT
GPR143	4935	92.40635	4935	G protein-coupled receptor 143	This gene encodes a protein that binds to heterotrimeric G proteins and is targeted to melanosomes in pigment cells. This protein is thought to be involved in intracellular signal transduction mechanisms. Mutations in this gene cause ocular albinism type 1, also referred to as Nettleship-Falls type ocular albinism, a severe visual disorder. A related pseudogene has been identified on chromosome Y.	GPR143
PRAME	23532	106.14549	23532	preferentially expressed antigen in melanoma	This gene encodes an antigen that is preferentially expressed in human melanomas and that is recognized by cytolytic T lymphocytes. It is not expressed in normal tissues, except testis. The encoded protein acts as a repressor of retinoic acid receptor, and likely confers a growth advantage to cancer cells via this function. Alternative splicing results in multiple transcript variants.	PRAME
TBC1D7	51256	94.933174	51256	TBC1 domain family member 7	This gene encodes a member of the TBC-domain containing protein family. The encoded protein functions as a subunit of the tuberous sclerosis TSC1-TSC2 complex which plays a role in the regulation of cellular growth and differentiation. Mutations in this gene have been associated with autosomal recessive megalencephaly. Alternative splicing results in multiple transcript variants. Naturally occurring readthrough transcription occurs between this locus and downstream LOC100130357.	TBC1D7
TMEM201	199953	96.16463	199953	transmembrane protein 201		TMEM201
CITED1	4435	98.30754	4435	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1	This gene encodes a member of the CREB-binding protein/p300-interacting transactivator with Asp/Glu-rich C-terminal domain (CITED) family of proteins. The encoded protein, also known as melanocyte-specific gene 1, may function as a transcriptional coactivator and may play a role in pigmentation of melanocytes. Alternatively spliced transcript variants have been described.	CITED1
BSG	682	91.76641	682	basigin (Ok blood group)	The protein encoded by this gene is a plasma membrane protein that is important in spermatogenesis, embryo implantation, neural network formation, and tumor progression. The encoded protein is also a member of the immunoglobulin superfamily. Multiple transcript variants encoding different isoforms have been found for this gene.	BSG
S100A1	6271	96.41748	6271	S100 calcium binding protein A1	The protein encoded by this gene is a member of the S100 family of proteins containing 2 EF-hand calcium-binding motifs. S100 proteins are localized in the cytoplasm and/or nucleus of a wide range of cells, and involved in the regulation of a number of cellular processes such as cell cycle progression and differentiation. S100 genes include at least 13 members which are located as a cluster on chromosome 1q21. This protein may function in stimulation of Ca2+-induced Ca2+ release, inhibition of microtubule assembly, and inhibition of protein kinase C-mediated phosphorylation. Reduced expression of this protein has been implicated in cardiomyopathies.	S100A1
MARCKSL1	65108	99.41865	65108	MARCKS like 1	This gene encodes a member of the myristoylated alanine-rich C-kinase substrate (MARCKS) family. Members of this family play a role in cytoskeletal regulation, protein kinase C signaling and calmodulin signaling. The encoded protein affects the formation of adherens junction. Alternative splicing results in multiple transcript variants. Pseudogenes of this gene are located on the long arm of chromosomes 6 and 10.	MARCKSL1
PAQR8	85315	93.84546	85315	progestin and adipoQ receptor family member 8		PAQR8
CD63	967	95.40366	967	CD63 molecule	The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility. The encoded protein is a cell surface glycoprotein that is known to complex with integrins. It may function as a blood platelet activation marker. Deficiency of this protein is associated with Hermansky-Pudlak syndrome. Also this gene has been associated with tumor progression. Alternative splicing results in multiple transcript variants encoding different protein isoforms.	CD63
FOXD3	27022	98.64994	27022	forkhead box D3	This gene belongs to the forkhead family of transcription factors which is characterized by a distinct forkhead domain. Mutations in this gene cause autoimmune susceptibility 1.	FOXD3
SND1	27044	90.76963	27044	staphylococcal nuclease and tudor domain containing 1	This gene encodes a transcriptional co-activator that interacts with the acidic domain of Epstein-Barr virus nuclear antigen 2 (EBNA 2), a transcriptional activator that is required for B-lymphocyte transformation. Other transcription factors that interact with this protein are signal transducers and activators of transcription, STATs. This protein is also thought to be essential for normal cell growth. A similar protein in mammals and other organisms is a component of the RNA-induced silencing complex (RISC).	SND1
C10orf90	118611	111.49785	118611	chromosome 10 open reading frame 90		C10orf90
PSMB4	5692	93.29553	5692	proteasome subunit beta 4	The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are composed of 7 beta subunits. Proteasomes are distributed throughout eukaryotic cells at a high concentration and cleave peptides in an ATP/ubiquitin-dependent process in a non-lysosomal pathway. An essential function of a modified proteasome, the immunoproteasome, is the processing of class I MHC peptides. This gene encodes a member of the proteasome B-type family, also known as the T1B family, that is a 20S core beta subunit.	PSMB4
KIAA1211	57482	95.165184	57482	KIAA1211		KIAA1211
MYO10	4651	92.91752	4651	myosin X	This gene encodes a member of the myosin superfamily. The protein represents an unconventional myosin; it should not be confused with the conventional non-muscle myosin-10 (MYH10). Unconventional myosins contain the basic domains of conventional myosins and are further distinguished from class members by their tail domains. This gene functions as an actin-based molecular motor and plays a role in integration of F-actin and microtubule cytoskeletons during meiosis.	MYO10
LRRC8D	55144	93.278046	55144	leucine rich repeat containing 8 family member D		LRRC8D
CBX8	57332	96.148445	57332	chromobox 8		CBX8
AP1S2	8905	96.71843	8905	adaptor related protein complex 1 sigma 2 subunit	Adaptor protein complex 1 is found at the cytoplasmic face of coated vesicles located at the Golgi complex, where it mediates both the recruitment of clathrin to the membrane and the recognition of sorting signals within the cytosolic tails of transmembrane receptors. This complex is a heterotetramer composed of two large, one medium, and one small adaptin subunit. The protein encoded by this gene serves as the small subunit of this complex and is a member of the adaptin protein family. Transcript variants encoding different isoforms have been found for this gene.	AP1S2
MITF	4286	97.944916	4286	melanogenesis associated transcription factor	This gene encodes a transcription factor that contains both basic helix-loop-helix and leucine zipper structural features. It regulates the differentiation and development of melanocytes retinal pigment epithelium and is also responsible for pigment cell-specific transcription of the melanogenesis enzyme genes. Heterozygous mutations in the this gene cause auditory-pigmentary syndromes, such as Waardenburg syndrome type 2 and Tietz syndrome. Alternatively spliced transcript variants encoding different isoforms have been identified.	MITF
PHACTR1	221692	91.92313	221692	phosphatase and actin regulator 1	The protein encoded by this gene is a member of the phosphatase and actin regulator family of proteins. This family member can bind actin and regulate the reorganization of the actin cytoskeleton. It plays a role in tubule formation and in endothelial cell survival. Polymorphisms in this gene are associated with susceptibility to myocardial infarction, coronary artery disease and cervical artery dissection. Alternative splicing of this gene results in multiple transcript variants.	PHACTR1
USP51	158880	100.7749	158880	ubiquitin specific peptidase 51		USP51
S100B	6285	96.16833	6285	S100 calcium binding protein B	The protein encoded by this gene is a member of the S100 family of proteins containing 2 EF-hand calcium-binding motifs. S100 proteins are localized in the cytoplasm and/or nucleus of a wide range of cells, and involved in the regulation of a number of cellular processes such as cell cycle progression and differentiation. S100 genes include at least 13 members which are located as a cluster on chromosome 1q21; however, this gene is located at 21q22.3. This protein may function in Neurite extension, proliferation of melanoma cells, stimulation of Ca2+ fluxes, inhibition of PKC-mediated phosphorylation, astrocytosis and axonal proliferation, and inhibition of microtubule assembly. Chromosomal rearrangements and altered expression of this gene have been implicated in several neurological, neoplastic, and other types of diseases, including Alzheimer's disease, Down's syndrome, epilepsy, amyotrophic lateral sclerosis, melanoma, and type I diabetes.	S100B
GJB1	2705	94.490845	2705	gap junction protein beta 1	This gene encodes a member of the gap junction protein family. The gap junction proteins are membrane-spanning proteins that assemble to form gap junction channels that facilitate the transfer of ions and small molecules between cells. According to sequence similarities at the nucleotide and amino acid levels, the gap junction proteins are divided into two categories, alpha and beta. Mutations in this gene cause X-linked Charcot-Marie-Tooth disease, an inherited peripheral neuropathy. Alternatively spliced transcript variants encoding the same protein have been found for this gene.	GJB1
PLOD3	8985	99.44306	8985	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	The protein encoded by this gene is a membrane-bound homodimeric enzyme that is localized to the cisternae of the rough endoplasmic reticulum. The enzyme (cofactors iron and ascorbate) catalyzes the hydroxylation of lysyl residues in collagen-like peptides. The resultant hydroxylysyl groups are attachment sites for carbohydrates in collagen and thus are critical for the stability of intermolecular crosslinks. Some patients with Ehlers-Danlos syndrome type VIB have deficiencies in lysyl hydroxylase activity.	PLOD3
ALX1	8092	95.88278	8092	ALX homeobox 1	The specific function of this gene has yet to be determined in humans; however,  in rodents, it is necessary for survival of the forebrain mesenchyme and may  also be involved in development of the cervix.  Mutations in the mouse gene lead  to neural tube defects such as acrania and meroanencephaly.	ALX1
COPG1	22820	96.69533	22820	coatomer protein complex subunit gamma 1		COPG1
ZCCHC3	85364	99.02807	85364	zinc finger CCHC-type containing 3		ZCCHC3
LDHB	3945	94.68811	3945	lactate dehydrogenase B	This gene encodes the B subunit of lactate dehydrogenase enzyme, which catalyzes the interconversion of pyruvate and lactate with concomitant interconversion of NADH and NAD+ in a post-glycolysis process. Alternatively spliced transcript variants have been found for this gene. Recent studies have shown that a C-terminally extended isoform is produced by use of an alternative in-frame translation termination codon via a stop codon readthrough mechanism, and that this isoform is localized in the peroxisomes. Mutations in this gene are associated with lactate dehydrogenase B deficiency. Pseudogenes have been identified on chromosomes X, 5 and 13.	LDHB
MAD2L1BP	9587	92.076454	9587	MAD2L1 binding protein	The protein encoded by this gene was identified as a binding protein of the MAD2 mitotic arrest deficient-like 1 (MAD2/MAD2L1). MAD2 is a key component of the spindle checkpoint that delays the onset of anaphase until all the kinetochores are attached to the spindle. This protein may interact with the spindle checkpoint and coordinate cell cycle events in late mitosis. Alternatively spliced transcript variants encoding distinct isoforms have been observed.	MAD2L1BP
CNP	1267	97.014626	1267	2',3'-cyclic nucleotide 3' phosphodiesterase		CNP
